essay_id,topic_heuristic
663d2cf,electoral
3a20bfb,venus
6adae64,facial_emotion
c81ccdf,driverless
9549d7f,venus
15992f4,driverless
1b7e42c,mars_face
e06d5d9,driverless
a779bc6,driverless
6a5eec3,mars_face
591c12a,driverless
7a59c2c,driverless
3dad742,seagoing
49e0d87,driverless
3e9eed3,seagoing
4b705ea,venus
ae6d438,facial_emotion
7d9d6fe,mars_face
48515c1,other
a7fe09a,driverless
e72915b,facial_emotion
b3ab1d1,driverless
2dc0b75,mars_face
9f5b732,electoral
ae9e460,other
f3c4832,mars_face
04dbd25,car_usage
4e0b72a,driverless
1f48e7a,electoral
3a737b0,venus
e7401c2,mars_face
a8eef6d,car_usage
c51614c,driverless
cd4462c,venus
138ecab,driverless
3ec8931,mars_face
b01c708,venus
72243bf,facial_emotion
31dfb5f,venus
628c245,driverless
2d454ec,facial_emotion
7e6ee52,car_usage
201fd9c,car_usage
4896b87,driverless
34f9d3c,mars_face
15365fa,venus
e9b0d70,driverless
f5875b9,venus
f83a610,driverless
ea2449f,electoral
4a1ccd9,venus
7a6088e,other
f458714,driverless
26a1960,electoral
c906156,venus
1da8f12,car_usage
eb74063,venus
50fbd98,venus
39f503f,mars_face
4bb4988,facial_emotion
0e2b2aa,seagoing
6f38e1a,venus
213f458,venus
2e01bf8,driverless
c0ff8e8,facial_emotion
b1ae3e4,driverless
5af1f7c,car_usage
c43fc51,driverless
d95597f,mars_face
e85ff31,driverless
10dbcec,facial_emotion
ad846b2,venus
b06b493,facial_emotion
0347bb4,facial_emotion
1cc6247,seagoing
5024f22,other
2706317,venus
8f50f17,driverless
752878d,driverless
87cd32d,mars_face
3d34e69,driverless
43c5cb6,car_usage
2645e39,electoral
94e8b11,other
7736261,seagoing
9d31789,venus
9baa424,venus
f267c3d,venus
29851d7,seagoing
2853974,mars_face
e209f98,car_usage
3294135,driverless
6d3ed36,electoral
2d7e6e9,other
6c557af,venus
09a04e4,venus
f831bab,electoral
0305a15,driverless
f932640,venus
bc6ca3b,other
f357d17,facial_emotion
9a12acf,facial_emotion
4d0c575,electoral
0d20e93,driverless
ccbecd2,venus
fa35821,venus
a125389,venus
9f3ee0d,driverless
1125efc,electoral
7ab444a,mars_face
821138b,venus
e60066e,driverless
031ab01,facial_emotion
2171ee8,seagoing
e99ab9d,facial_emotion
615020b,venus
9300f5b,venus
932fe56,electoral
4e1e89d,venus
94135e7,car_usage
ea1734a,mars_face
bb7cf0c,car_usage
f02d98f,facial_emotion
a14ed8f,facial_emotion
35f642a,electoral
c342e55,driverless
1c03444,car_usage
e094603,car_usage
4ebd88f,car_usage
33c632a,electoral
683ad7f,mars_face
f3ab2bc,driverless
b0d4bff,other
5a1d913,venus
7e123c1,car_usage
91ad483,car_usage
6d696a5,mars_face
4d605cc,other
2ec9e00,seagoing
efe2c12,venus
8a60615,mars_face
9be40af,electoral
d869f96,electoral
4c33872,facial_emotion
00cb5dc,venus
668973f,driverless
5687d29,seagoing
25bb264,electoral
bfd4a19,driverless
6c7fc93,seagoing
37e9bc5,facial_emotion
892efa3,car_usage
9504a2b,facial_emotion
6fb84c0,mars_face
294affa,facial_emotion
088fd5c,car_usage
4c1784e,electoral
7d8ddf0,electoral
f4c1321,venus
e1f561b,venus
e528ae4,venus
c7bc7d4,facial_emotion
b82eed9,seagoing
abd1c6d,driverless
e6cfc5d,venus
f176d2e,venus
e18c6e9,car_usage
d617cf4,driverless
1c3468c,other
61d3a3a,driverless
022b620,seagoing
59f3a62,venus
7ff0200,seagoing
5a87202,seagoing
8885181,seagoing
27427c9,driverless
c7e42ce,driverless
01b55c8,car_usage
8a526cd,electoral
91d5de5,facial_emotion
5df9875,car_usage
50ce20c,venus
e701cf8,other
6598ef5,facial_emotion
55a48e1,car_usage
bad6c34,mars_face
413fa86,venus
ad0a779,driverless
7cb938c,mars_face
3333188,electoral
23b0b0f,facial_emotion
b5962cc,car_usage
9e34d7d,driverless
93fee24,facial_emotion
2c5309d,facial_emotion
94271ab,driverless
0df054c,other
6657141,driverless
0264158,driverless
6770d94,mars_face
6231af7,mars_face
d321e59,car_usage
f6b60ee,venus
69f310c,facial_emotion
22955c4,facial_emotion
1482f42,mars_face
347f9d9,mars_face
e0d868d,facial_emotion
c23bb92,car_usage
2ae4810,venus
c0ada9f,driverless
3aed042,seagoing
be8ce73,venus
b937932,other
54605eb,facial_emotion
9ee0e40,venus
a901570,car_usage
1fcd324,facial_emotion
433b244,driverless
bc84140,driverless
c10455f,driverless
4df2f42,mars_face
d093ede,facial_emotion
4146edb,driverless
764530d,facial_emotion
4170511,other
e2f5624,facial_emotion
1c5a11c,facial_emotion
3886ce6,facial_emotion
a6733fa,car_usage
61c5216,seagoing
00b2fe2,driverless
37e497f,seagoing
bd846c7,car_usage
12095b2,electoral
d0776b6,driverless
ee957f3,facial_emotion
bef1ed0,car_usage
c930fa2,car_usage
15e8c3a,mars_face
2440f97,other
2199b5e,venus
1859a6b,mars_face
22ed5ef,electoral
0ad0588,facial_emotion
2ea91d5,venus
2e78299,driverless
d08a5ef,electoral
4ed1e03,driverless
0ded4da,electoral
1b1975b,electoral
8b7fcc4,driverless
0e82e35,mars_face
7e22c6c,seagoing
3cf0e6c,facial_emotion
f953262,driverless
4f661ce,electoral
768ecbe,electoral
85f4c1a,other
b90f1b5,electoral
7d69fe9,car_usage
129f4b5,driverless
e9e1f6a,facial_emotion
45a3758,car_usage
1bb0b2b,other
c6de3c2,seagoing
b1bd537,driverless
4c28b83,car_usage
a678979,driverless
815b88f,facial_emotion
c6490ff,driverless
fa29e92,mars_face
ceec53f,mars_face
2126db8,seagoing
81eaec9,driverless
a549027,venus
44bde0e,seagoing
9853a17,driverless
b4945b9,driverless
077acd9,car_usage
57649d1,electoral
09b7da8,facial_emotion
d9d981c,driverless
fef9131,car_usage
e2c2e20,venus
b80959a,seagoing
be9f270,driverless
6f38206,seagoing
ccf34f3,driverless
7136a44,facial_emotion
5d09d49,other
a3c0f35,venus
d836e6e,electoral
8a52d1e,driverless
591c21a,facial_emotion
80828df,other
4b21cc0,car_usage
137675c,venus
57bd6d9,electoral
4cea9bb,mars_face
0d2070c,venus
65aaead,mars_face
b387c56,other
bb18184,venus
24046b8,car_usage
8de2ee2,mars_face
7d48bb8,driverless
577fa76,car_usage
f61050c,electoral
c7f9f5e,driverless
3db2fd4,car_usage
596c46a,electoral
9aef82b,car_usage
3bb67ff,other
6ae483f,venus
ac756fd,seagoing
9ebd4a9,venus
55f64de,electoral
875b4d0,facial_emotion
0f87684,mars_face
0a0d3b4,mars_face
