essay_id,score,words,paragraphs,characters,words_unique_ratio
663d2cf,3,259,4,1461,0.61003861003861
3a20bfb,2,286,5,1550,0.4370629370629371
6adae64,3,218,3,1212,0.4954128440366973
c81ccdf,3,394,5,2010,0.4263959390862944
9549d7f,3,568,2,3282,0.43485915492957744
15992f4,3,392,8,2084,0.49489795918367346
1b7e42c,1,508,7,2706,0.4881889763779528
e06d5d9,3,283,4,1513,0.5371024734982333
a779bc6,4,402,8,2271,0.5223880597014925
6a5eec3,5,721,7,3954,0.43134535367545074
591c12a,3,459,4,2342,0.4335511982570806
7a59c2c,5,514,5,2886,0.4961089494163424
3dad742,3,305,4,1606,0.5344262295081967
49e0d87,4,442,4,2458,0.497737556561086
3e9eed3,2,281,4,1621,0.5551601423487544
4b705ea,3,352,5,1820,0.4431818181818182
ae6d438,2,198,2,1073,0.6262626262626263
7d9d6fe,4,515,7,2844,0.5145631067961165
48515c1,2,227,3,1200,0.5154185022026432
a7fe09a,3,274,3,1514,0.5109489051094891
e72915b,3,294,3,1646,0.5034013605442177
b3ab1d1,3,237,4,1366,0.5822784810126582
2dc0b75,3,382,3,2129,0.43455497382198954
9f5b732,3,303,4,1769,0.49834983498349833
ae9e460,3,246,3,1300,0.5691056910569106
f3c4832,4,523,6,2721,0.4225621414913958
04dbd25,4,568,3,3290,0.47183098591549294
4e0b72a,2,333,4,1838,0.4954954954954955
1f48e7a,3,363,8,2156,0.4738292011019284
3a737b0,2,201,1,1094,0.6218905472636815
e7401c2,3,249,3,1327,0.5662650602409639
a8eef6d,2,203,3,1119,0.6354679802955665
c51614c,2,255,4,1428,0.5607843137254902
cd4462c,2,199,13,1101,0.5778894472361809
138ecab,4,457,4,2306,0.4223194748358862
3ec8931,5,686,12,3895,0.5087463556851312
b01c708,5,514,5,2910,0.4143968871595331
72243bf,3,325,4,1832,0.5107692307692308
31dfb5f,3,243,4,1545,0.6378600823045267
628c245,3,477,1,2622,0.5723270440251572
2d454ec,2,238,3,1340,0.5126050420168067
7e6ee52,2,215,4,1216,0.5906976744186047
201fd9c,2,215,4,1232,0.6465116279069767
4896b87,2,277,3,1450,0.5306859205776173
34f9d3c,3,392,5,1936,0.44642857142857145
15365fa,4,416,5,2408,0.3942307692307692
e9b0d70,4,512,5,2715,0.408203125
f5875b9,2,211,6,1231,0.5781990521327014
f83a610,4,413,5,2345,0.3801452784503632
ea2449f,5,808,11,4833,0.5
4a1ccd9,2,241,10,1325,0.4730290456431535
7a6088e,3,324,2,1639,0.39814814814814814
f458714,5,549,5,3093,0.44990892531876137
26a1960,3,369,6,2172,0.43902439024390244
c906156,3,338,4,1861,0.5443786982248521
1da8f12,5,819,7,4740,0.4700854700854701
eb74063,3,584,4,3392,0.4589041095890411
50fbd98,2,181,3,1027,0.6353591160220995
39f503f,3,226,3,1197,0.504424778761062
4bb4988,4,399,5,2393,0.45363408521303256
0e2b2aa,2,303,4,1515,0.49834983498349833
6f38e1a,4,473,5,2802,0.47568710359408034
213f458,4,530,6,3030,0.4660377358490566
2e01bf8,3,492,19,2823,0.5142276422764228
c0ff8e8,3,342,4,1966,0.5350877192982456
b1ae3e4,3,435,20,2527,0.4942528735632184
5af1f7c,3,409,5,2535,0.589242053789731
c43fc51,4,409,5,2457,0.4743276283618582
d95597f,4,394,6,2117,0.5
e85ff31,2,381,5,2023,0.4881889763779528
10dbcec,3,513,5,3078,0.4580896686159844
ad846b2,2,316,3,1893,0.6613924050632911
b06b493,4,460,6,2487,0.47391304347826085
0347bb4,3,221,3,1250,0.5610859728506787
1cc6247,3,218,10,1168,0.6376146788990825
5024f22,3,303,4,1659,0.5115511551155115
2706317,4,588,6,3321,0.4489795918367347
8f50f17,2,288,10,1699,0.6145833333333334
752878d,4,388,4,2219,0.5
87cd32d,5,545,8,3076,0.44403669724770645
3d34e69,3,436,3,2515,0.3944954128440367
43c5cb6,2,179,2,1028,0.6759776536312849
2645e39,3,333,4,1885,0.46546546546546547
94e8b11,2,212,5,1115,0.5801886792452831
7736261,1,190,3,1034,0.6842105263157895
9d31789,2,205,3,1115,0.5951219512195122
9baa424,1,173,2,966,0.6473988439306358
f267c3d,5,850,5,5031,0.4541176470588235
29851d7,2,271,5,1497,0.45387453874538747
2853974,3,268,4,1472,0.6007462686567164
e209f98,3,430,4,2394,0.5116279069767442
3294135,3,219,5,1228,0.5068493150684932
6d3ed36,2,164,5,908,0.4878048780487805
2d7e6e9,2,205,3,1064,0.5317073170731708
6c557af,2,228,4,1271,0.5701754385964912
09a04e4,4,529,5,2905,0.4499054820415879
f831bab,1,174,9,1158,0.6379310344827587
0305a15,1,164,3,850,0.5975609756097561
f932640,4,547,5,3299,0.4753199268738574
bc6ca3b,2,217,1,1158,0.5714285714285714
f357d17,2,204,4,1123,0.5343137254901961
9a12acf,4,453,4,2541,0.5342163355408388
4d0c575,2,243,3,1481,0.5390946502057613
0d20e93,2,213,2,1178,0.5774647887323944
ccbecd2,2,234,3,1303,0.6111111111111112
fa35821,2,292,1,1532,0.4931506849315068
a125389,4,378,4,2295,0.5555555555555556
9f3ee0d,2,226,3,1260,0.5663716814159292
1125efc,3,386,3,2157,0.43005181347150256
7ab444a,2,244,5,1283,0.5
821138b,4,389,5,2168,0.45758354755784064
e60066e,3,247,3,1376,0.5789473684210527
031ab01,4,659,5,3619,0.4006069802731411
2171ee8,2,479,4,2365,0.3757828810020877
e99ab9d,2,157,3,820,0.535031847133758
615020b,3,433,5,2550,0.5542725173210161
9300f5b,3,634,6,3920,0.44637223974763407
932fe56,2,311,4,1831,0.4790996784565916
4e1e89d,3,361,8,2147,0.5235457063711911
94135e7,3,397,7,2513,0.6297229219143576
ea1734a,2,246,3,1360,0.5934959349593496
bb7cf0c,2,212,1,1132,0.6037735849056604
f02d98f,2,170,3,925,0.6588235294117647
a14ed8f,3,220,4,1393,0.509090909090909
35f642a,2,287,5,1476,0.44947735191637633
c342e55,2,163,3,895,0.6012269938650306
1c03444,3,382,4,2016,0.5418848167539267
e094603,3,379,5,2089,0.5303430079155673
4ebd88f,4,577,6,3333,0.4748700173310225
33c632a,4,455,4,2666,0.45714285714285713
683ad7f,3,232,3,1374,0.6594827586206896
f3ab2bc,5,569,3,3367,0.4797891036906854
b0d4bff,2,210,6,1186,0.6238095238095238
5a1d913,4,475,5,2589,0.4442105263157895
7e123c1,4,495,4,2925,0.5252525252525253
91ad483,4,493,11,2924,0.5152129817444219
6d696a5,5,505,6,2961,0.5148514851485149
4d605cc,3,270,4,1479,0.4777777777777778
2ec9e00,3,284,8,1584,0.5140845070422535
efe2c12,4,370,6,2078,0.5594594594594594
8a60615,2,371,2,1879,0.5094339622641509
9be40af,4,551,7,3319,0.4047186932849365
d869f96,3,359,2,1832,0.45125348189415043
4c33872,3,235,3,1397,0.5872340425531914
00cb5dc,2,187,2,1076,0.5721925133689839
668973f,3,379,4,2001,0.43535620052770446
5687d29,1,232,3,1209,0.5862068965517241
25bb264,5,639,10,3730,0.5242566510172144
bfd4a19,3,441,10,2546,0.5328798185941043
6c7fc93,2,323,1,1743,0.5263157894736842
37e9bc5,2,202,3,1154,0.5495049504950495
892efa3,4,337,5,1994,0.5133531157270029
9504a2b,3,337,5,2227,0.5311572700296736
6fb84c0,2,259,4,1355,0.5598455598455598
294affa,4,436,6,2516,0.4793577981651376
088fd5c,4,600,6,3252,0.5283333333333333
4c1784e,2,222,3,1228,0.5540540540540541
7d8ddf0,4,578,6,3339,0.3408304498269896
f4c1321,2,193,2,1060,0.6062176165803109
e1f561b,3,335,4,1909,0.49850746268656715
e528ae4,4,383,4,2375,0.577023498694517
c7bc7d4,3,384,5,2073,0.4401041666666667
b82eed9,2,165,5,902,0.6848484848484848
abd1c6d,3,281,4,1621,0.6263345195729537
e6cfc5d,2,227,1,1077,0.5022026431718062
